"","Name","Age","Since","Current.Position","company_code","company_name"
"1503","Joe Hudson",49,2018,"Chief Executive Officer, Executive Director","IBST","IBSTOCK"
"1504","Chris McLeish",NA,2019,"Chief Financial Officer, Executive Director","IBST","IBSTOCK"
"1505","Robert Douglas",63,NA,"Company Secretary","IBST","IBSTOCK"
"1506","Louis Eperjesi",56,2018,"Non-Executive Independent Director","IBST","IBSTOCK"
"1507","Tracey Graham",53,2018,"Senior Non-Executive Independent Director","IBST","IBSTOCK"
"1508","Claire Hawkings",49,2018,"Non-Executive Independent Director","IBST","IBSTOCK"
"1509","Justin Read",57,2017,"Non-Executive Independent Director","IBST","IBSTOCK"
"1510","Andrew Green",62,2015,"Non-Executive Independent Chairman of the Board","IGG","IG GROUP"
"1511","June Yee Felix",61,2018,"Chief Executive Officer, Executive Director","IGG","IG GROUP"
"1512","Paul Mainwaring",55,2018,"Chief Financial Officer, Executive Director","IGG","IG GROUP"
"1513","Jon Noble",NA,2019,"Chief Operating Officer, Executive Director","IGG","IG GROUP"
"1514","Bridget Messer",NA,2018,"Chief Commercial Officer, Executive Director","IGG","IG GROUP"
"1515","Tony Lee",NA,NA,"Company Secretary","IGG","IG GROUP"
"1516","Sally-Ann Hibberd",NA,2018,"Additional Non-Executive Director","IGG","IG GROUP"
"1517","Jonathan Moulds",NA,2018,"Additional Non-Executive Director","IGG","IG GROUP"
"1518","Jim Newman",52,2013,"Non-Executive Director","IGG","IG GROUP"
"1519","Stephen Hill",57,2011,"Non-Executive Independent Director","IGG","IG GROUP"
"1520","Malcolm Le May",60,2015,"Senior Non-Executive Independent Director","IGG","IG GROUP"
"1521","Robert Smith",NA,2015,"Independent Non-Executive Chairman of the Board","IMI","IMI"
"1522","Roy Twite",NA,2019,"Chief Executive, Executive Director","IMI","IMI"
"1523","Daniel Shook",52,2015,"Finance Director, Executive Director","IMI","IMI"
"1524","Jim Lim",NA,2019,"President - Critical Engineering Asia Pacific","IMI","IMI"
"1525","Massimo Grassi",NA,2016,"Divisional Managing Director, IMI Precision Engineering","IMI","IMI"
"1526","Jackie Hu",NA,2019,"Managing Director - Critical Engineering Division","IMI","IMI"
"1527","Mark Selway",NA,2019,"Executive Director","IMI","IMI"
"1528","Geoff Tranfield",NA,2016,"Group Human Resources Director","IMI","IMI"
"1529","Phil Clifton",57,2017,"Interim Managing Director, IMI Hydronic Engineering","IMI","IMI"
"1530","Paul Roberts",NA,2016,"Group Business Development Director","IMI","IMI"
"1531","John O'Shea",NA,2015,"Group Legal Director, Company Secretary","IMI","IMI"
"1532","Katie Jackson",NA,2018,"Non-Executive Director","IMI","IMI"
"1533","Carl-Peter Forster",NA,2017,"Senior Non-Executive Independent Director","IMI","IMI"
"1534","Birgit Noergaard",61,2012,"Non-Executive Independent Director","IMI","IMI"
"1535","Isobel Sharp",NA,2015,"Non-Executive Independent Director","IMI","IMI"
"1536","John Dean",NA,2015,"Head of Investor Relations","IMI","IMI"
"1537","Mark Williamson",60,2014,"Non-Executive Chairman of the Board","IMB","IMP.BRANDS"
"1538","Alison Cooper",NA,2010,"Chief Executive Officer, Executive Director","IMB","IMP.BRANDS"
"1539","Oliver Tant",NA,2013,"Chief Financial Officer, Executive Director","IMB","IMP.BRANDS"
"1540","Matthew Phillips",47,2015,"Executive Director, Chief Development Officer","IMB","IMP.BRANDS"
"1541","John Downing",NA,2012,"Company Secretary","IMB","IMP.BRANDS"
"1542","Jon Stanton",50,2019,"Director","IMB","IMP.BRANDS"
"1543","Sue Clark",55,2018,"Non-Executive Independent Director","IMB","IMP.BRANDS"
"1544","Therese Esperdy",58,2019,"Senior Non-Executive Independent Director","IMB","IMP.BRANDS"
"1545","Simon Langelier",NA,2017,"Independent Non-Executive Director","IMB","IMP.BRANDS"
"1546","Steven Stanbrook",61,2016,"Independent Non-Executive Director","IMB","IMP.BRANDS"
"1547","Karen Witts",NA,2014,"Independent Non-Executive Director","IMB","IMP.BRANDS"
"1548","Peter Durman",NA,2016,"Investor Relations Director","IMB","IMP.BRANDS"
"1549","Nigel Stein",61,2018,"Independent Non-Executive Chairman of the Board","INCH","INCHCAPE"
"1550","Stefan Bomhard",51,2017,"Group Chief Executive, Executive Director","INCH","INCHCAPE"
"1551","Aris Aravanis",NA,2015,"Chief Executive Officer - Continental Europe","INCH","INCHCAPE"
"1552","George Ashford",NA,2016,"Chief Executive Officer - Asia","INCH","INCHCAPE"
"1553","James Brearley",NA,NA,"Chief Executive Officer - Inchcape UK","INCH","INCHCAPE"
"1554","Ruslan Kinebas",NA,2015,"Chief Executive Officer -Emerging Markets","INCH","INCHCAPE"
"1555","Nicholas Senior",NA,2016,"Chief Executive Officer - Australasia","INCH","INCHCAPE"
"1556","Alison Clarke",NA,2015,"Chief Human Resource Officer","INCH","INCHCAPE"
"1557","Stephane Chatal",NA,2011,"Group Chief Information Officer","INCH","INCHCAPE"
"1558","Bertrand Mallet",NA,2015,"Chief Development Officer","INCH","INCHCAPE"
"1559","Tamsin Waterhouse",NA,NA,"Group Company Secretary","INCH","INCHCAPE"
"1560","Jane Kingston",60,2018,"Non-Executive Director","INCH","INCHCAPE"
"1561","Coline McConville",54,2014,"Non-Executive Independent Director","INCH","INCHCAPE"
"1562","Jerry Buhlmann",59,2019,"Senior Non-Executive Independent Director","INCH","INCHCAPE"
"1563","Rachel Empey",43,2016,"Non-Executive Independent Director","INCH","INCHCAPE"
"1564","John Langston",66,2013,"Non-Executive Independent Director","INCH","INCHCAPE"
"1565","Till Vestring",54,2011,"Non-Executive Independent Director","INCH","INCHCAPE"
"1566","Sunita Entwisle",NA,2017,"Investor Relations Director","INCH","INCHCAPE"
"1567","Derek Mapp",66,2008,"Independent Non-Executive Chairman of the Board,","INF","INFORMA"
"1568","Stephen Carter",NA,2014,"Group Chief Executive, Executive Director","INF","INFORMA"
"1569","Gareth Wright",NA,2014,"Group Finance Director, Executive Director","INF","INFORMA"
"1570","Gareth Bullock",NA,2014,"Senior Non-Executive Independent Director","INF","INFORMA"
"1571","Stephen Davidson",NA,2015,"Independent Non-Executive Director","INF","INFORMA"
"1572","David Flaschen",62,2015,"Independent Non-Executive Director","INF","INFORMA"
"1573","Mary McDowell",NA,2018,"Non-Executive Independent Director","INF","INFORMA"
"1574","Helen Owers",54,2014,"Independent Non-Executive Director","INF","INFORMA"
"1575","John Rishton",61,2016,"Independent Non-ExecutiveDirector","INF","INFORMA"
"1576","Richard Menzies-Gow",NA,NA,"Director of Investor Relations, Corporate Communications & Brand","INF","INFORMA"
"1577","Kevin Parry",56,2016,"Non-Executive Independent Chairman of the Board","ICP","INT.CAP.GRP"
"1578","Benoit Durteste",NA,2017,"Chief Executive Officer, Executive Director and Head of European Investments","ICP","INT.CAP.GRP"
"1579","Philip Keller",NA,2017,"Chief Financial Officer, Chief Operating Officer, Executive Director, Primary Contact","ICP","INT.CAP.GRP"
"1580","Escamillo Lin",NA,2018,"Managing Director, Head of South East Asia","ICP","INT.CAP.GRP"
"1581","Jamie Rivers",NA,2019,"Managing Director","ICP","INT.CAP.GRP"
"1582","Kathryn Purves",NA,2014,"Non-Executive Independent Director","ICP","INT.CAP.GRP"
"1583","Stephen Welton",NA,2017,"Non-Executive Director","ICP","INT.CAP.GRP"
"1584","Virginia Holmes",NA,2017,"Non-Executive Independent Director","ICP","INT.CAP.GRP"
"1585","Michael Nelligan",NA,2016,"Non-Executive Independent Director","ICP","INT.CAP.GRP"
"1586","Amy Schioldager",56,2018,"Non-Executive Independent Director","ICP","INT.CAP.GRP"
"1587","Andrew Sykes",61,2018,"Senior Non-Executive Independent Director","ICP","INT.CAP.GRP"
"1588","Patrick Cescau",70,2013,"Non-Executive Chairman of the Board","IHG","INTERCON. HOTEL"
"1589","Keith Barr",NA,2017,"Chief Executive Officer, Executive Director","IHG","INTERCON. HOTEL"
"1590","Paul Edgecliffe-Johnson",NA,2014,"Chief Financial Officer, Executive Director","IHG","INTERCON. HOTEL"
"1591","Jolyon Bulley",NA,2017,"Chief Executive Officer - Greater China","IHG","INTERCON. HOTEL"
"1592","Kenneth Macpherson",NA,2018,"Chief Executive Officer - EMEAA","IHG","INTERCON. HOTEL"
"1593","Ranjay Radhakrishnan",NA,2016,"Chief Human Resource Officer","IHG","INTERCON. HOTEL"
"1594","George Turner",NA,2019,"Executive Vice President, Chief Commercial and Technology Officer","IHG","INTERCON. HOTEL"
"1595","Nicolette Henfrey",NA,2019,"Executive Vice President, General Counsel, Company Secretary","IHG","INTERCON. HOTEL"
"1596","Yasmin Diamond",NA,2016,"Executive Vice President - Global Corporate Affairs","IHG","INTERCON. HOTEL"
"1597","Claire Bennett",52,2017,"Chief Marketing Officer","IHG","INTERCON. HOTEL"
"1598","Elie Maalouf",NA,2018,"Chief Executive Officer - Americas, Executive Director","IHG","INTERCON. HOTEL"
"1599","Anne Busquet",69,2015,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1600","Ian Dyson",56,2013,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1601","Jo Harlow",55,2014,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1602","Luke Mayhew",65,2011,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1603","Gillian McDonald",NA,2013,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1604","Dale Morrison",70,2014,"Senior Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1605","Malina Ngai",NA,2017,"Independent Non-Executive Director","IHG","INTERCON. HOTEL"
"1606","Heather Wood",NA,2019,"VP, Head of Investor Relations","IHG","INTERCON. HOTEL"
"1607","David Reid",NA,2012,"Non-Executive Chairman of the Board","ITRK","INTERTEK GROUP"
"1608","Andre Lacroix",NA,2015,"Chief Executive Officer, Executive Director","ITRK","INTERTEK GROUP"
"1609","Ross McCluskey",NA,2018,"Group Chief Financial Officer, Executive Director","ITRK","INTERTEK GROUP"
"1610","Ken Lee",NA,2016,"Executive Vice President - Marketing and Communications","ITRK","INTERTEK GROUP"
"1611","Anthony George",NA,2016,"Executive Vice President - Human Resources","ITRK","INTERTEK GROUP"
"1612","Alexander Buehler",42,2017,"Executive Vice President - Global Resources","ITRK","INTERTEK GROUP"
"1613","Ian Galloway",NA,2011,"Executive Vice President - Middle-East, Africa and Global Trade","ITRK","INTERTEK GROUP"
"1614","Patrick Lee",NA,2018,"Executive Vice President - North East Asia and Australasia","ITRK","INTERTEK GROUP"
"1615","Graham Ritchie",NA,2014,"Executive Vice President - Europe","ITRK","INTERTEK GROUP"
"1616","Rajesh Saigal",NA,2015,"Executive Vice President - South & South East Asia","ITRK","INTERTEK GROUP"
"1617","Gregg Tiemann",NA,2016,"Executive Vice President - Americas","ITRK","INTERTEK GROUP"
"1618","Julia Thomas",NA,2016,"Senior Vice President - Corporate Development","ITRK","INTERTEK GROUP"
"1619","Ann-Michele Bowlin",NA,2010,"Chief Information Officer","ITRK","INTERTEK GROUP"
"1620","Mark Thomas",NA,2015,"Group General Counsel","ITRK","INTERTEK GROUP"
"1621","Gurnek Bains",NA,2017,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1622","Dame Pamela Louise Makin",NA,2012,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1623","Andrew Martin",57,2016,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1624","Gill Rider",NA,2015,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1625","Jean-Michel Valette",58,2017,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1626","Lena Wilson",NA,2012,"Non-Executive Director","ITRK","INTERTEK GROUP"
"1627","Graham Allan",64,2017,"Senior Non-Executive Independent Director","ITRK","INTERTEK GROUP"
"1628","Denis Moreau",NA,2018,"Vice President - Investor Relations","ITRK","INTERTEK GROUP"
"1629","Michael Gerrard",NA,2019,"Non-Executive Chairman of the Board","INPP","INTL PUBLIC"
"1630","Julia Bond",59,2017,"Non-Executive Director","INPP","INTL PUBLIC"
"1631","Giles Frost",55,2006,"Non-Executive Director","INPP","INTL PUBLIC"
"1632","John Le Poidevin",47,2016,"Non-Executive Independent Director","INPP","INTL PUBLIC"
"1633","John Stares",66,2013,"Non-Executive Independent Director","INPP","INTL PUBLIC"
"1634","Claire Whittet",62,2012,"Non-Executive Independent Director","INPP","INTL PUBLIC"
"1635","John Whittle",62,2013,"Senior Independent Non-Executive Director","INPP","INTL PUBLIC"
"1636","Peregrine Crosthwaite",69,2018,"Independent Non-Executive Chairman of the Board","INVP","INVESTEC"
"1637","Hendrik du Toit",56,2018,"Joint Chief Executive Officer, Executive Director","INVP","INVESTEC"
"1638","Fani Titi",56,2018,"Joint Chief Executive Officer, Executive Director","INVP","INVESTEC"
"1639","Nishlan Samujh",NA,2019,"Group Chief Finance Officer, Group Finance Director, Executive Director","INVP","INVESTEC"
"1640","Ciaran Whelan",NA,2019,"Acting Global Head of Risk","INVP","INVESTEC"
"1641","Bernard Kantor",68,2018,"Executive Director","INVP","INVESTEC"
"1642","Stephen Koseff",67,2018,"Executive Director","INVP","INVESTEC"
"1643","Kim McFarland",NA,2018,"Executive Director","INVP","INVESTEC"
"1644","David Miller",NA,NA,"Company Secretary","INVP","INVESTEC"
"1645","Ian Kantor",NA,2002,"Non-Executive Director","INVP","INVESTEC"
"1646","Zarina Bassa",54,2018,"Senior Independent Non-Executive Director","INVP","INVESTEC"
"1647","Laurel Bowden",53,2015,"Non-Executive Independent Director","INVP","INVESTEC"
"1648","Cheryl Carolus",59,2005,"Non-Executive Independent Director","INVP","INVESTEC"
"1649","David Friedland",NA,2013,"Non-Executive Independent Director","INVP","INVESTEC"
"1650","Philip Hourquebie",65,2017,"Non-Executive Independent Director","INVP","INVESTEC"
"1651","Charles Jacobs",51,2014,"Non-Executive Independent Director","INVP","INVESTEC"
"1652","Mark Malloch-Brown",64,2014,"Non-Executive Independent Director","INVP","INVESTEC"
"1653","Khumo Shuenyane",47,2014,"Non-Executive Independent Director","INVP","INVESTEC"
"1654","Douglas Flint",63,2018,"Non-Executive Chairman of the Board","IPO","IP GROUP"
"1655","Alan Aubrey",57,2006,"Chief Executive Officer, Executive Director","IPO","IP GROUP"
"1656","Greg Smith",40,2011,"Chief Financial Officer, Executive Director","IPO","IP GROUP"
"1657","David Baynes",55,2014,"Chief Operating Officer, Executive Director","IPO","IP GROUP"
"1658","Michael Townend",56,2011,"Chief Investment Officer, Executive Director","IPO","IP GROUP"
"1659","Angela Leach",NA,2008,"Company Secretary","IPO","IP GROUP"
"1660","David Begg",68,2018,"Senior Non-Executive Independent Director","IPO","IP GROUP"
"1661","Jonathan Brooks",63,2011,"Non-Executive Independent Director","IPO","IP GROUP"
"1662","Caroline Brown",57,2019,"Independent Non-Executive Director","IPO","IP GROUP"
"1663","Heejae Chae",50,2018,"Non-Executive Independent Director","IPO","IP GROUP"
"1664","Aedhmar Hynes",NA,2019,"Non-Executive Independent Director","IPO","IP GROUP"
"1665","Elaine Sullivan",58,2015,"Non-Executive Independent Director","IPO","IP GROUP"
"1666","Peter Bazalgette",62,2017,"Executive Chairman of the Board","ITV","ITV"
"1667","Carolyn McCall",NA,2018,"Chief Executive Officer","ITV","ITV"
"1668","Chris Kennedy",55,2019,"Chief Financial Officer, Director","ITV","ITV"
"1669","Julian Bellamy",NA,2016,"Managing Director - ITV Studios","ITV","ITV"
"1670","Kelly Williams",NA,2014,"Managing Director - Commercial","ITV","ITV"
"1671","Rufus Radcliffe",NA,2017,"Group Marketing and Research Director","ITV","ITV"
"1672","David Osborn",NA,2014,"Group Human Resources Director","ITV","ITV"
"1673","Julian Ashworth",NA,2018,"Director of Strategy and Direct to Consumer","ITV","ITV"
"1674","Kevin Lygo",58,2016,"Director of Television","ITV","ITV"
"1675","Andrew Garard",49,2012,"Group Legal Director and Company Secretary","ITV","ITV"
"1676","Salman Amin",NA,2017,"Non-Executive Director","ITV","ITV"
"1677","Margaret Ewing",64,2017,"Non-Executive Director","ITV","ITV"
"1678","Duncan Painter",NA,2018,"Non-Executive Director","ITV","ITV"
"1679","Edward Carter",NA,2018,"Senior Independent Director","ITV","ITV"
"1680","Roger Faxon",70,2012,"Non-Executive Independent Director","ITV","ITV"
"1681","Mary Harris",53,2014,"Non-Executive Independent Director","ITV","ITV"
"1682","Anna Manz",NA,2016,"Non-Executive Independent Director","ITV","ITV"
"1683","John Ormerod",70,2008,"Non-Executive Independent Director","ITV","ITV"
"1684","Pippa Foulds",NA,2015,"Director - Investor Relations","ITV","ITV"
"1685","Douglas Sutherland",NA,2016,"Non-Executive Chairman of the Board","IWG","IWG"
"1686","Mark Dixon",59,2016,"Chief Executive Officer, Executive Director","IWG","IWG"
"1687","Eric Hageman",NA,2019,"Chief Financial Officer, Executive Director","IWG","IWG"
"1688","Timothy Regan",NA,NA,"Company Secretary","IWG","IWG"
"1689","Laurie Harris",NA,2019,"Non-Executive Director","IWG","IWG"
"1690","Nina Henderson",68,2016,"Non-Executive Independent Director","IWG","IWG"
"1691","Francois Pauly",54,2017,"Senior Independent Non-Executive Director.","IWG","IWG"
"1692","Florence Pierre",NA,2016,"Non-Executive Independent Director","IWG","IWG"
"1693","Wayne Gerry",NA,2017,"Head of Investor Relations","IWG","IWG"
"1694","William Samuel",66,2018,"Non-Executive Chairman of the Board","JLG","JOHN LAING G"
"1695","Olivier Brousse",53,2014,"Chief Executive Officer, Executive Director","JLG","JOHN LAING G"
"1696","Luciana Germinario",NA,2019,"Chief Financial Officer - Designate, Director","JLG","JOHN LAING G"
"1697","Carolyn Cattermole",57,2012,"Group General Counsel, Company Secretary","JLG","JOHN LAING G"
"1698","Andrea Abt",NA,2018,"Independent Non-Executive Director","JLG","JOHN LAING G"
"1699","Jeremy Beeton",65,2014,"Independent Non-Executive Director","JLG","JOHN LAING G"
"1700","Toby Hiscock",58,2009,"Independent Non-Executive Director","JLG","JOHN LAING G"
"1701","David Rough",67,2014,"Senior Non-Executive Independent Director","JLG","JOHN LAING G"
"1702","Anne Wade",47,2014,"Independent Non-Executive Director","JLG","JOHN LAING G"
"1703","Tejal Patel",NA,2017,"Group Financial Accountant","JLG","JOHN LAING G"
"1704","Patrick Thomas",61,2018,"Non-Executive Chairman of the Board","JMAT","JOHNSON MATTHEY"
"1705","Robert MacLeod",53,2014,"Chief Executive, Executive Director","JMAT","JOHNSON MATTHEY"
"1706","Anna Manz",NA,2016,"Chief Financial Officer, Executive Director","JMAT","JOHNSON MATTHEY"
"1707","Simon Farrant",NA,2017,"General Counsel, Company Secretary","JMAT","JOHNSON MATTHEY"
"1708","John Walker",NA,2017,"Executive Director - Sector Chief Executive, Clean Air","JMAT","JOHNSON MATTHEY"
"1709","Xiaozhi Liu",63,2019,"Non-Executive Director","JMAT","JOHNSON MATTHEY"
"1710","Alan Ferguson",60,2014,"Senior Independent Non-Executive Director","JMAT","JOHNSON MATTHEY"
"1711","Jane Griffiths",NA,2017,"Non-Executive Independent Director","JMAT","JOHNSON MATTHEY"
"1712","Christopher Mottershead",NA,2017,"Non-Executive Independent Director","JMAT","JOHNSON MATTHEY"
"1713","John O'Higgins",NA,2017,"Non-Executive Independent Director","JMAT","JOHNSON MATTHEY"
"1714","Martin Dunwoodie",NA,2018,"Investor Relations Director","JMAT","JOHNSON MATTHEY"
"1715","Richard Burns",NA,2015,"Independent Non-Executive Chairman of the Board","JII","JPMOR INDIAN"
"1716","Jasper Judd",NA,2015,"Non-Executive Independent Director","JII","JPMOR INDIAN"
"1717","Rosemary Morgan",NA,2013,"Non-Executive Independent Director","JII","JPMOR INDIAN"
"1718","Nimi Patel",NA,2011,"Non-Executive Independent Director","JII","JPMOR INDIAN"
"1719","Hugh Sandeman",NA,2015,"Senior Non-Executive Independent Director","JII","JPMOR INDIAN"
"1720","Kevin Carter",NA,2017,"Independent Chairman of the Board","JAM","JPMOR.AMER."
"1721","Alison Vincent",NA,2012,"Company Secretary","JAM","JPMOR.AMER."
"1722","Alan Collins",NA,2017,"Senior Independent Director","JAM","JPMOR.AMER."
"1723","Simon Bragg",NA,2012,"Non-Executive Independent Director","JAM","JPMOR.AMER."
"1724","Nadia Manzoor",NA,2016,"Non-Executive Independent Director","JAM","JPMOR.AMER."
"1725","Robert Talbut",NA,2017,"Non-Executive Independent Director","JAM","JPMOR.AMER."
"1726","Sarah Arkle",NA,2017,"Non-Executive Independent Chairman of the Board","JMG","JPMORGAN EMERG"
"1727","Aidan Lisser",NA,2018,"Non-Executive Director","JMG","JPMORGAN EMERG"
"1728","Anatole Kaletsky",NA,2016,"Senior Independent Non-Executive Director","JMG","JPMORGAN EMERG"
"1729","Richard Laing",NA,2015,"Non-Executive Independent Director","JMG","JPMORGAN EMERG"
"1730","Ruary Neill",NA,2017,"Non-Executive Independent Director","JMG","JPMORGAN EMERG"
"1731","Andrew Page",NA,2015,"Non-Executive Independent Director","JMG","JPMORGAN EMERG"
"1732","Andrew Fleming",NA,2014,"Non-Executive Independent Chairman of the Board","JFJ","JPMORGAN JAPAN."
"1733","Sally Macdonald",NA,2018,"Non-Executive Director","JFJ","JPMORGAN JAPAN."
"1734","Stephen Cohen",NA,2016,"Non-Executive Independent Director","JFJ","JPMORGAN JAPAN."
"1735","Stephen Gomersall",70,2013,"Non-Executive Independent Director","JFJ","JPMORGAN JAPAN."
"1736","George Olcott",63,2016,"Non-Executive Independent Director","JFJ","JPMORGAN JAPAN."
"1737","Christopher Samuel",NA,2014,"Non-Executive Independent Director","JFJ","JPMORGAN JAPAN."
"1738","Andrew Sutch",NA,2017,"Non-Executive Chairman of the Board","JEO","JUPITER EURO."
"1739","Philip Best",NA,2009,"Independent Non-Executive Director","JEO","JUPITER EURO."
"1740","Virginia Holmes",NA,2017,"Non-Executive Independent Director","JEO","JUPITER EURO."
"1741","Norman Lamont",69,2015,"Independent Non-Executive Director","JEO","JUPITER EURO."
"1742","John Wallinger",NA,2000,"Independent Non-Executive Director","JEO","JUPITER EURO."
"1743","Elisabeth Airey",60,2014,"Non-Executive Independent Chairman of the Board","JUP","JUPITER FND"
"1744","Andrew Formica",47,2019,"Chief Executive Officer, Director","JUP","JUPITER FND"
"1745","Edward Bonham Carter",NA,2014,"Executive Vice Chairman of the Board","JUP","JUPITER FND"
"1746","Charlotte Jones",NA,2016,"Chief Financial Officer, Executive Director","JUP","JUPITER FND"
"1747","Jasveer Singh",NA,2018,"General Counsel and Company Secretary","JUP","JUPITER FND"
"1748","Jonathon Bond",NA,2017,"Senior Non-Executive Independent Director","JUP","JUPITER FND"
"1749","Bridget Macaskill",70,2015,"Independent Non-Executive Director","JUP","JUPITER FND"
"1750","Karl Sternberg",NA,2016,"Independent Non-Executive Director","JUP","JUPITER FND"
"1751","Polly Williams",53,2015,"Independent Non-Executive Director","JUP","JUPITER FND"
"1752","Roger Yates",NA,2017,"Independent Non-Executive Director","JUP","JUPITER FND"
"1753","John Lillywhite",78,NA,"Non-Independent Non-Executive Chairman of the Board","KNOS","KAINOS GROUP"
"1754","Brendan Mooney",52,NA,"Chief Executive Officer, Director","KNOS","KAINOS GROUP"
"1755","Richard McCann",54,NA,"Chief Financial Officer, Chief Operating Officer, Director","KNOS","KAINOS GROUP"
"1756","Nigel Hutchinson",NA,2018,"Vice President - North American Operations for WorkSmart","KNOS","KAINOS GROUP"
"1757","Paul Gannon",56,2019,"Senior Vice President - Business Development Executive Director","KNOS","KAINOS GROUP"
"1758","Tom Gray",NA,NA,"Chief Technology Officer","KNOS","KAINOS GROUP"
"1759","Grainne Burns",NA,2018,"General Counsel and Company Secretary","KNOS","KAINOS GROUP"
"1760","Stephan Sakowicz",NA,NA,"Head of Gdansk Operations","KNOS","KAINOS GROUP"
"1761","Russell Sloan",NA,NA,"Divisional Director, Digital Services","KNOS","KAINOS GROUP"
"1762","Malachy Smith",NA,NA,"Divisional Director, Workday Implementation Services","KNOS","KAINOS GROUP"
"1763","Tom Burnet",51,NA,"Non-Executive Independent Director","KNOS","KAINOS GROUP"
"1764","Christopher Cowan",60,NA,"Non-Executive Independent Director","KNOS","KAINOS GROUP"
"1765","Andrew Malpass",57,NA,"Non-Executive Independent Director","KNOS","KAINOS GROUP"
"1766","Oleg Novachuk",47,2018,"Executive Chairman of the Board","KAZ","KAZ MINERALS"
"1767","Andrew Southam",NA,2018,"Chief Executive Officer, Executive Director","KAZ","KAZ MINERALS"
"1768","Michael Lynch-Bell",66,2018,"Deputy Chairman of the Board, Senior Non-Executive Independent Director","KAZ","KAZ MINERALS"
"1769","John Hadfield",NA,2018,"Chief Financial Officer","KAZ","KAZ MINERALS"
"1770","Ilsur Dautov",NA,2014,"General Director - East Region","KAZ","KAZ MINERALS"
"1771","Madina Kaparova",NA,2016,"Group Procurement Director","KAZ","KAZ MINERALS"
"1772","Mian Khalil",NA,2017,"General Director - Projects","KAZ","KAZ MINERALS"
"1773","Sergey Leu",NA,2016,"General Director - Bozshakol","KAZ","KAZ MINERALS"
"1774","Eldar Mamedov",NA,2017,"General Director - KMM LLP","KAZ","KAZ MINERALS"
"1775","Ilyas Tulekeev",NA,NA,"General Director - Bozymchak","KAZ","KAZ MINERALS"
"1776","Philip WELTEN",NA,2018,"General Director - Aktogay","KAZ","KAZ MINERALS"
"1777","Susanna Freeman",NA,2016,"Company Secretary","KAZ","KAZ MINERALS"
"1778","Vladimir Kim",NA,2013,"Non-Executive Director","KAZ","KAZ MINERALS"
"1779","Lynda Armstrong",69,2013,"Independent Non-Executive Director","KAZ","KAZ MINERALS"
"1780","Alison Baker",NA,2017,"Independent Non-Executive Director","KAZ","KAZ MINERALS"
"1781","John MacKenzie",NA,2015,"Non-Executive Independent Director","KAZ","KAZ MINERALS"
"1782","Charles Watson",65,2011,"Independent Non-Executive Director","KAZ","KAZ MINERALS"
"1783","Chris Bucknall",NA,2015,"Head of Investor Relations","KAZ","KAZ MINERALS"
"1784","Andy Cosslett",NA,2017,"Independent Non-Executive Chairman of the Board","KGF","KINGFISHER"
"1785","Veronique Laury",NA,2014,"Chief Executive Officer, Executive Director","KGF","KINGFISHER"
"1786","Alastair Robertson",NA,2016,"Chief People Officer","KGF","KINGFISHER"
"1787","Arja Taaveniku",NA,NA,"Chief Offer and Supply Chain Officer","KGF","KINGFISHER"
"1788","Steve Willett",NA,2017,"Chief Transformation Officer","KGF","KINGFISHER"
"1789","Pierre Woreczek",NA,NA,"Chief Customer Officer","KGF","KINGFISHER"
"1790","Paul Moore",NA,2016,"Group Company Secretary","KGF","KINGFISHER"
"1791","Jeff Carr",NA,2018,"Non-Executive Director","KGF","KINGFISHER"
"1792","Sophie Gasperment",54,2018,"Non-Executive Director","KGF","KINGFISHER"
"1793","Claudia Arney",47,2018,"Non-Executive Independent Director","KGF","KINGFISHER"
"1794","Pascal Cagni",56,2010,"Non-Executive Independent Director","KGF","KINGFISHER"
"1795","Clare Chapman",59,2010,"Non-Executive Independent Director","KGF","KINGFISHER"
"1796","Rakhi Goss-Custard",NA,2016,"Non-Executive Independent Director","KGF","KINGFISHER"
"1797","Mark Seligman",NA,2012,"Senior Independent Non-Executive Director","KGF","KINGFISHER"
"1798","Georgios Michaelides",NA,2017,"IR Contact Officer","KGF","KINGFISHER"
"1799","Peter Clarke",NA,2016,"Non-Executive Independent Chairman of the Board","LRE","LANCASHIRE"
"1800","Alexander Maloney",45,2014,"Chief Executive Officer, Executive Director","LRE","LANCASHIRE"
"1801","Elaine Whelan",44,2013,"Chief Financial Officer, Executive Director","LRE","LANCASHIRE"
"1802","Paul Gregory",NA,2014,"Group Chief Underwriting Officer","LRE","LANCASHIRE"
"1803","Christopher Head",49,2012,"Company Secretary","LRE","LANCASHIRE"
"1804","Michael Dawson",57,2016,"Non-Executive Independent Director","LRE","LANCASHIRE"
"1805","Simon Fraser",54,2014,"Senior Independent Non-Executive Director","LRE","LANCASHIRE"
